feature,importance
morgan_592,1.4
morgan_1613,1.4
morgan_1585,1.2000000000000002
morgan_961,1.2000000000000002
morgan_322,1.2000000000000002
morgan_1591,1.2000000000000002
morgan_1121,1.2000000000000002
morgan_1165,1.2000000000000002
morgan_591,1.2000000000000002
morgan_393,1.2000000000000002
morgan_1674,1.2000000000000002
morgan_1557,1.2000000000000002
morgan_1583,1.2000000000000002
morgan_936,1.2
morgan_809,1.2
morgan_817,1.2
morgan_8,1.2
morgan_1742,1.2
morgan_571,1.2
morgan_347,1.2
morgan_1496,1.2
morgan_1437,1.2
morgan_556,1.2
morgan_1572,1.2
morgan_1166,1.2
morgan_455,1.2
morgan_39,1.2
morgan_1176,1.2
morgan_1307,1.2
morgan_890,1.2
morgan_255,1.2
morgan_1231,1.2
morgan_158,1.2
morgan_1454,1.2
morgan_1280,1.2
morgan_1253,1.2
morgan_1783,1.2
morgan_1273,1.2
morgan_1715,1.2
morgan_1739,1.2
morgan_58,1.2
morgan_658,1.2
morgan_1236,1.0
morgan_445,1.0
morgan_871,1.0
morgan_17,1.0
morgan_279,1.0
morgan_1075,1.0
morgan_756,1.0
morgan_1814,1.0
morgan_306,1.0
morgan_1505,1.0
morgan_1007,1.0
morgan_892,1.0
morgan_819,1.0
morgan_1125,1.0
morgan_866,1.0
morgan_462,1.0
morgan_2026,1.0
morgan_1682,1.0
morgan_1180,1.0
morgan_1835,1.0
morgan_1896,1.0
morgan_257,1.0
morgan_1388,1.0
morgan_1287,1.0
morgan_337,1.0
morgan_2008,0.8
morgan_2002,0.8
morgan_1290,0.8
morgan_1462,0.8
morgan_1600,0.8
morgan_126,0.8
morgan_22,0.8
morgan_394,0.8
morgan_840,0.8
morgan_1612,0.8
morgan_953,0.8
morgan_1920,0.8
morgan_1417,0.8
morgan_889,0.8
morgan_1217,0.8
morgan_526,0.8
morgan_913,0.8
morgan_264,0.8
morgan_194,0.8
morgan_1694,0.8
morgan_859,0.8
morgan_834,0.8
morgan_1002,0.8
morgan_444,0.8
morgan_813,0.8
morgan_680,0.8
morgan_537,0.8
morgan_1364,0.8
morgan_101,0.8
morgan_134,0.8
morgan_548,0.8
morgan_344,0.8
morgan_131,0.8
morgan_1434,0.8
morgan_1040,0.8
morgan_619,0.8
morgan_1910,0.8
morgan_433,0.8
morgan_1265,0.8
morgan_949,0.8
morgan_1851,0.8
morgan_1998,0.8
morgan_1415,0.8
morgan_922,0.8
morgan_87,0.8
morgan_340,0.8
morgan_1650,0.8
morgan_1425,0.8
morgan_448,0.8
morgan_1856,0.8
morgan_1801,0.8
morgan_1061,0.8
morgan_972,0.8
morgan_52,0.8
morgan_1397,0.8
morgan_159,0.6000000000000001
morgan_1546,0.6000000000000001
morgan_2030,0.6000000000000001
morgan_667,0.6000000000000001
morgan_119,0.6000000000000001
morgan_280,0.6000000000000001
morgan_1823,0.6000000000000001
morgan_1966,0.6000000000000001
morgan_244,0.6000000000000001
morgan_1340,0.6000000000000001
morgan_30,0.6000000000000001
morgan_1339,0.6000000000000001
morgan_425,0.6000000000000001
morgan_1101,0.6000000000000001
morgan_4,0.6000000000000001
morgan_1283,0.6000000000000001
morgan_1366,0.6000000000000001
morgan_552,0.6000000000000001
morgan_617,0.6000000000000001
morgan_1636,0.6000000000000001
morgan_1983,0.6000000000000001
morgan_1717,0.6000000000000001
morgan_1247,0.6000000000000001
morgan_1897,0.6000000000000001
morgan_1393,0.6000000000000001
morgan_40,0.6000000000000001
morgan_904,0.6000000000000001
morgan_797,0.6000000000000001
morgan_788,0.6000000000000001
morgan_1816,0.6000000000000001
morgan_1709,0.6000000000000001
morgan_1883,0.6000000000000001
morgan_1652,0.6000000000000001
morgan_2020,0.6000000000000001
morgan_987,0.6000000000000001
morgan_629,0.6000000000000001
morgan_331,0.6000000000000001
morgan_560,0.6000000000000001
morgan_364,0.6000000000000001
morgan_1455,0.6000000000000001
morgan_1876,0.6000000000000001
morgan_1003,0.6000000000000001
morgan_897,0.6
morgan_786,0.6
morgan_404,0.6
morgan_1930,0.6
morgan_1179,0.6
morgan_969,0.6
morgan_79,0.6
morgan_381,0.6
morgan_735,0.6
morgan_1992,0.6
morgan_761,0.6
morgan_530,0.6
morgan_1420,0.6
morgan_1994,0.6
morgan_931,0.6
morgan_1081,0.6
morgan_247,0.6
morgan_1458,0.6
morgan_1580,0.4
morgan_1189,0.4
morgan_1222,0.4
morgan_308,0.4
morgan_1225,0.4
morgan_401,0.4
morgan_988,0.4
morgan_1937,0.4
morgan_1291,0.4
morgan_1991,0.4
morgan_1477,0.4
morgan_1485,0.4
morgan_315,0.4
morgan_1811,0.4
morgan_1936,0.4
morgan_1589,0.4
morgan_663,0.4
morgan_1404,0.4
morgan_175,0.4
morgan_1792,0.4
morgan_1286,0.4
morgan_1301,0.4
morgan_334,0.4
morgan_902,0.4
morgan_311,0.4
morgan_637,0.4
morgan_295,0.4
morgan_1258,0.4
morgan_939,0.4
morgan_49,0.4
morgan_487,0.4
